基金代码,基金名称,一级分类,二级分类,3月评分,6月评分,1年评分,2年评分,3年评分,5年评分,7年评分,10年评分
110022,易方达消费行业股票,股票型,股票型,97.6071,96.823,97.3254,95.8058,94.2041,91.0652,86.46642138838057,74.53564587573327
001694,华安沪港深外延增长灵活配置混合A,混合型,混合型-灵活,97.869,97.6992,97.3082,95.0196,92.7704,91.6753,88.02226744882078,79.43137944451095
180012,银华富裕主题混合A,混合型,混合型-偏股,98.0471,97.1911,97.2536,95.6475,94.0553,92.3322,86.76090497853637,77.26793517299174
519091,新华泛资源优势混合,混合型,混合型-灵活,98.7325,97.4283,97.2465,95.4642,92.6967,90.4252,86.84850182141575,78.0268316772417
000577,安信价值精选股票A,股票型,股票型,96.8035,97.1896,97.028,95.5733,92.8461,89.9827,84.5301516991329,75.07022177660721
519714,交银消费新驱动股票,股票型,股票型,96.5596,96.8305,97.0157,94.9788,93.0474,90.3957,86.99558328060064,73.90712917514665
040025,华安科技动力混合A,混合型,混合型-偏股,98.1159,97.3034,96.961,92.993,90.9946,88.1181,85.17732080860597,79.28453848916557
420003,天弘永定价值成长混合A,混合型,混合型-偏股,95.5375,96.4025,96.9573,93.2449,91.9409,90.0343,85.12104291016058,76.43631030767389
240022,华宝资源优选混合A,混合型,混合型-偏股,96.1975,96.6651,96.8634,93.2137,91.6341,89.5583,85.91112474560039,80.51616934035675
001244,华泰柏瑞量化智慧混合A,混合型,混合型-灵活,97.0535,96.9547,96.8526,93.8834,91.467,88.2483,85.1194929965282,78.25324733628636
160632,鹏华酒A,指数型,指数型-股票,97.7748,95.7201,96.832,95.603,93.0317,89.638,86.23345333584169,75.04702651741889
519157,新华行业灵活配置混合C,混合型,混合型-灵活,98.0755,96.5693,96.7583,93.6256,91.3068,88.8184,83.71291965247731,73.44606728121633
519156,新华行业灵活配置混合A,混合型,混合型-灵活,98.086,96.5536,96.7542,93.6505,91.3485,88.8568,83.75166749328727,73.57453908775291
000527,南方新优享灵活配置混合A,混合型,混合型-灵活,97.4635,97.1971,96.7508,94.6754,92.2371,90.7258,83.46135263634964,77.34451694002155
460009,华泰柏瑞量化先行混合A,混合型,混合型-偏股,97.043,96.924,96.7448,92.4643,90.5636,87.6315,84.32043235108003,77.56655542918712
000309,大摩品质生活精选股票A,股票型,股票型,97.0729,97.2757,96.7347,92.2043,91.6231,90.0938,87.40171409758683,79.9969322399138
001397,建信精工制造指数增强,指数型,指数型-股票,96.1481,96.6973,96.7298,92.8869,90.7738,88.4878,85.62642164491798,78.40281934634262
217027,招商央视财经50指数A,指数型,指数型-股票,95.5989,96.2356,96.7224,95.7091,93.0751,89.9306,84.88631116279865,76.93223991380343
090009,大成行业轮动混合A,混合型,混合型-偏股,98.1803,97.0273,96.7074,94.2306,92.0352,90.2106,86.28182133023208,77.07504040464504
001662,创金合信沪港深精选混合,混合型,混合型-灵活,94.7953,96.1892,96.695,92.0646,90.7468,88.2879,84.11947803184485,73.59212259068599
001810,中欧潜力价值灵活配置混合A,混合型,混合型-灵活,96.0882,96.6127,96.6846,94.5168,92.0964,88.7847,85.30874279557386,77.57007212977373
001473,建信大安全战略精选股票,股票型,股票型,97.3752,97.1283,96.682,94.554,92.644,91.2801,85.88327974551487,75.28885580031127
001178,前海开源再融资股票,股票型,股票型,96.6404,97.1021,96.679,94.1406,92.948,88.2048,84.1415509397821,74.54769244582785
000478,建信中证500指数增强A,指数型,指数型-股票,97.3902,97.4538,96.6677,93.0414,90.84,87.0467,84.21006781139367,76.16960223871664
001975,景顺长城环保优势股票,股票型,股票型,97.2974,97.2899,96.6621,96.0158,92.8569,90.9513,87.58064895418241,78.74225577636777
001410,信澳新能源产业股票A,股票型,股票型,98.5499,96.9637,96.6434,95.2272,93.4311,91.0004,87.2504104598861,79.44398719023106
000877,华泰柏瑞量化优选混合,混合型,混合型-灵活,95.1051,96.0815,96.6142,93.9258,91.4308,87.8788,83.03737108994201,75.16906351011613
001242,博时中证淘金大数据100A,指数型,指数型-股票,98.2985,97.5608,96.5963,93.3489,91.0784,87.2991,83.39085828872432,76.87507482341672
000936,博时产业新动力混合A,混合型,混合型-灵活,97.6221,96.1062,96.5839,94.4754,92.1081,90.0094,84.92703647962239,77.47373698072549
000480,东方红新动力混合A,混合型,混合型-灵活,96.4414,96.3067,96.5697,94.9878,92.2487,89.1517,85.8904414154025,78.94686040943374
519909,华安安顺灵活配置混合A,混合型,混合型-灵活,97.3872,96.6883,96.5327,93.4271,91.6057,89.6759,85.42605522395718,76.93171614988627
200012,长城中小盘成长混合A,混合型,混合型-偏股,97.6939,96.6771,96.5304,94.9021,92.199,91.0463,84.63746985685212,77.15940380701544
001528,诺安先进制造股票A,股票型,股票型,96.3007,96.3554,96.5256,95.1398,92.6412,90.0903,85.54427622240085,76.86572189632467
000974,安信消费医药股票A,股票型,股票型,95.135,96.2349,96.5144,95.2708,92.0424,88.584,83.86155102529459,75.70461211540763
001521,国寿安保成长优选股票A,股票型,股票型,96.6734,96.0755,96.5009,93.4511,91.0478,88.9355,85.05172435908399,78.97360978091703
001897,九泰久盛量化先锋混合A,混合型,混合型-灵活,97.7448,97.2817,96.4964,92.9875,91.6538,88.698,83.78314677361426,74.06100353166526
001927,华夏消费升级灵活配置混合A,混合型,混合型-灵活,95.0063,95.6303,96.4915,95.3104,93.2419,90.9057,86.04580689572609,73.54363701664073
202005,南方成份精选混合A,混合型,混合型-偏股,96.4025,96.5327,96.4882,94.415,91.9613,88.8402,83.22710189666672,75.3410077217766
001112,东方红中国优势混合,混合型,混合型-灵活,95.8907,95.8503,96.4751,95.9698,93.7368,90.4271,84.11717988404509,73.64558392194421
000339,长城医疗保健混合A,混合型,混合型-偏股,96.6165,96.5334,96.456,93.4071,92.4265,91.4198,85.35352995502043,76.88495151442595
001577,嘉实低价策略股票,股票型,股票型,95.6707,96.5716,96.4272,94.1258,92.0869,91.2858,85.8677271638932,77.1221043337723
001928,华夏消费升级灵活配置混合C,混合型,混合型-灵活,94.8671,95.5263,96.4227,95.2235,93.1629,90.7971,85.90738357476356,73.357139650425
160222,国泰国证食品饮料行业(LOF)A,指数型,指数型-股票,97.5967,95.1627,96.3875,95.5562,94.3507,89.5334,86.07285021634657,74.30956692206392
000628,大成高鑫股票A,股票型,股票型,98.1339,97.5667,96.3572,94.3598,92.7915,90.8332,86.83273545860341,79.14626481503652
001564,东方红京东大数据混合A,混合型,混合型-灵活,95.7021,96.068,96.3479,94.8695,92.2712,89.5514,86.18177173299584,79.2773180294505
